id,frequency,last_donation,blood_group,sex,distance
41760,3.88,66,A+,M,8
41907,3.88,74,A-,M,17
42208,3.88,95,A+,M,29
42297,3.88,24,A-,M,29
42311,3.88,74,A-,M,13
42415,3.88,24,AB+,M,20
42558,3.88,40,0-,M,1
42564,3.88,37,0+,M,2
42885,3.88,42,0+,M,5
42981,3.88,103,A+,M,5
43152,3.88,71,0-,M,28
43267,3.88,62,A+,M,1
43538,3.88,105,A+,M,13
43558,3.88,38,0+,M,8
43636,3.88,77,A+,M,12
43941,3.88,39,A+,M,24
44090,3.88,2,A-,M,22
44236,3.88,117,0+,M,25
44241,3.88,6,0-,M,23
44248,3.88,82,0+,M,21
44381,3.88,36,B-,M,10
44448,3.88,86,B-,M,21
44650,3.88,24,0+,M,18
44874,3.88,95,A+,M,23
40624,3.87,51,0+,M,8
40627,3.87,77,B-,M,17
40775,3.87,92,A+,M,11
40938,3.87,81,A+,M,30
40981,3.87,35,0+,M,29
41017,3.87,56,A-,M,16
41022,3.87,62,A+,M,22
41313,3.87,63,AB-,M,25
41369,3.87,59,A-,M,3
41922,3.87,44,0+,M,22
42466,3.87,90,AB-,M,1
42529,3.87,68,A+,M,1
42538,3.87,112,A+,M,14
42589,3.87,82,0+,M,27
42737,3.87,46,A-,M,0
42794,3.87,80,A+,M,11
43209,3.87,43,B+,M,8
43631,3.87,25,AB+,M,16
43838,3.87,79,0+,M,26
43852,3.87,95,0+,M,25
43911,3.87,71,B+,M,6
44125,3.87,5,0+,M,1
44128,3.87,100,0+,M,4
44384,3.87,32,A-,M,9
44684,3.87,65,A-,M,19
40675,3.86,102,0+,M,0
40748,3.86,42,0+,M,14
41213,3.86,38,A+,M,20
41300,3.86,63,0+,M,15
41439,3.86,115,0+,M,26
41725,3.86,42,A+,M,6
41741,3.86,44,0+,M,23
42186,3.86,59,0+,M,7
42360,3.86,86,0-,M,2
42423,3.86,78,B-,M,11
42510,3.86,75,0+,M,7
42551,3.86,46,0-,M,30
42665,3.86,52,A+,M,11
42768,3.86,23,A+,M,21
42783,3.86,50,B-,M,22
42903,3.86,10,0+,M,22
43501,3.86,102,B+,M,18
43683,3.86,14,A+,M,11
43781,3.86,45,0-,M,10
43929,3.86,56,0-,M,24
43966,3.86,64,A+,M,16
44114,3.86,2,0+,M,19
44146,3.86,44,0+,M,8
44550,3.86,59,0+,M,0
44801,3.86,81,0+,M,16
40637,3.85,9,A+,M,0
40679,3.85,56,A+,M,22
40690,3.85,53,B-,M,24
40729,3.85,111,0+,M,9
40786,3.85,31,B-,M,8
40804,3.85,44,B-,M,27
40861,3.85,49,A+,M,0
40945,3.85,91,B+,M,9
40976,3.85,24,0+,M,17
40995,3.85,77,AB+,M,8
41057,3.85,91,AB-,M,10
41069,3.85,20,AB-,M,10
41174,3.85,110,0+,M,12
41259,3.85,79,B+,M,8
41388,3.85,53,A-,M,6
41422,3.85,42,0+,M,23
41555,3.85,47,0-,M,25
41628,3.85,53,0+,M,20
41763,3.85,37,B+,M,10
41972,3.85,39,0+,M,15
42139,3.85,5,0+,M,0
42161,3.85,3,B+,M,28
42798,3.85,36,0+,M,17
42848,3.85,98,0+,M,30
43089,3.85,54,0-,M,24
43323,3.85,55,AB-,M,22
43569,3.85,26,A+,M,7
43642,3.85,58,0+,M,14
43702,3.85,46,B-,M,30
43766,3.85,77,0+,M,0
43828,3.85,66,A+,M,18
44040,3.85,10,A+,M,25
44320,3.85,96,A+,M,30
44388,3.85,13,0-,M,4
44630,3.85,30,A-,M,23
44704,3.85,58,B-,M,6
40875,3.84,84,0+,M,4
41533,3.84,29,B-,M,6
41598,3.84,65,0-,M,24
41883,3.84,54,0-,M,25
41929,3.84,29,AB+,M,0
41951,3.84,97,0+,M,21
41985,3.84,82,0+,M,27
42007,3.84,3,A+,M,10
42363,3.84,70,B+,M,25
42403,3.84,55,AB+,M,15
42469,3.84,97,0+,M,23
42590,3.84,117,0+,M,2
42800,3.84,75,0+,M,25
42839,3.84,8,A+,M,23
43274,3.84,81,A+,M,27
43637,3.84,69,A-,M,10
43813,3.84,95,0+,M,4
44045,3.84,107,0+,M,19
44214,3.84,55,0+,M,22
44392,3.84,105,0+,M,17
44525,3.84,57,0+,M,7
44562,3.84,95,B+,M,0
44927,3.84,62,0-,M,17
40562,3.83,51,0+,M,0
40580,3.83,49,A+,M,20
40726,3.83,106,A-,M,9
40759,3.83,70,B-,M,30
41333,3.83,45,B-,M,15
41450,3.83,79,0+,M,2
41663,3.83,95,A-,M,5
42093,3.83,78,0-,M,10
42375,3.83,87,0+,M,14
42619,3.83,90,AB-,M,4
42818,3.83,59,0+,M,22
42837,3.83,74,B-,M,21
43224,3.83,52,0+,M,21
43420,3.83,53,A+,M,30
43699,3.83,54,A+,M,15
43924,3.83,77,0+,M,9
44005,3.83,83,0-,M,29
44178,3.83,59,A+,M,6
44213,3.83,78,A-,M,27
44705,3.83,85,0+,M,14
44775,3.83,16,0+,M,28
44778,3.83,112,0+,M,8
44799,3.83,17,0+,M,30
44824,3.83,31,0+,M,18
44867,3.83,91,AB+,M,15
44913,3.83,59,A-,M,28
40556,3.82,83,A-,M,6
40955,3.82,70,AB+,M,10
41056,3.82,88,A+,M,23
41173,3.82,13,0-,M,25
41368,3.82,105,0-,M,8
41432,3.82,79,A+,M,24
41713,3.82,108,AB+,M,1
41882,3.82,18,A+,M,29
42076,3.82,72,0-,M,7
42278,3.82,38,B+,M,14
42980,3.82,12,A+,M,13
43006,3.82,56,A+,M,10
43062,3.82,24,0+,M,8
43131,3.82,3,B+,M,2
43429,3.82,53,B-,M,3
43494,3.82,43,A+,M,25
44173,3.82,95,A+,M,9
44470,3.82,68,A+,M,26
44930,3.82,34,A+,M,19
41271,3.81,39,A-,M,22
41457,3.81,93,0+,M,30
41458,3.81,26,A+,M,22
41787,3.81,10,0-,M,23
42073,3.81,69,B-,M,24
42158,3.81,70,0-,M,27
42452,3.81,57,0+,M,30
42661,3.81,65,A-,M,3
42787,3.81,36,A-,M,9
42836,3.81,67,0-,M,17
43037,3.81,26,0-,M,12
43519,3.81,42,AB+,M,16
43603,3.81,59,0-,M,9
43739,3.81,35,A-,M,23
43863,3.81,25,0+,M,17
43962,3.81,64,AB-,M,11
44192,3.81,52,A+,M,25
44340,3.81,50,0+,M,17
44397,3.81,110,B-,M,19
44408,3.81,93,A+,M,20
44422,3.81,58,0-,M,14
44536,3.81,49,A+,M,22
44621,3.81,38,0-,M,28
44669,3.81,43,A+,M,15
44733,3.81,103,0+,M,18
44875,3.81,54,AB-,M,16
40812,3.80,91,A+,M,0
40828,3.80,72,0+,M,4
41074,3.80,54,A+,M,11
41233,3.80,45,B-,M,15
41441,3.80,20,A-,M,14
41528,3.80,106,0-,M,15
41818,3.80,106,A+,M,21
41866,3.80,47,0+,M,16
41955,3.80,58,B-,M,29
42216,3.80,76,0+,M,10
42609,3.80,32,0+,M,5
42630,3.80,99,0+,M,15
43478,3.80,0,0+,M,25
43588,3.80,78,A-,M,28
43686,3.80,29,A+,M,12
43775,3.80,45,0+,M,29
43800,3.80,84,0+,M,25
43973,3.80,106,A+,M,14
44026,3.80,22,AB+,M,24
44027,3.80,81,A+,M,20
44094,3.80,83,A-,M,8
44305,3.80,44,0+,M,28
44339,3.80,85,0-,M,5
44834,3.80,102,A-,M,5
44904,3.80,96,0+,M,30
44928,3.80,17,0+,M,24
40555,3.79,76,B-,M,26
40821,3.79,59,AB-,M,13
40879,3.79,59,A+,M,17
40940,3.79,57,0+,M,18
41488,3.79,88,0+,M,25
41569,3.79,116,A+,M,12
41994,3.79,110,A-,M,17
42238,3.79,32,0+,M,22
42285,3.79,105,0+,M,0
42318,3.79,54,0+,M,19
42626,3.79,20,A+,M,15
43628,3.79,63,AB+,M,27
44159,3.79,72,A+,M,1
44610,3.79,0,A+,M,6
40898,3.78,66,A-,M,23
41042,3.78,31,A+,M,20
41162,3.78,64,0+,M,0
41474,3.78,61,0+,M,8
41631,3.78,1,B+,M,26
41661,3.78,76,A-,M,5
41766,3.78,65,0+,M,16
42324,3.78,86,0+,M,19
42519,3.78,78,0-,M,9
42744,3.78,72,0-,M,10
43961,3.78,54,A+,M,23
44210,3.78,78,B-,M,9
40460,3.77,90,0+,M,25
40757,3.77,45,A+,M,23
40886,3.77,89,A+,M,12
41315,3.77,21,0-,M,22
41542,3.77,56,A-,M,21
41648,3.77,92,0+,M,8
41688,3.77,62,A+,M,12
42152,3.77,38,A+,M,20
42162,3.77,75,A+,M,19
42182,3.77,116,B-,M,3
42340,3.77,116,B-,M,3
42357,3.77,65,0+,M,30
42376,3.77,92,A+,M,22
42704,3.77,96,A+,M,27
42821,3.77,43,A-,M,30
43054,3.77,70,0+,M,7
43260,3.77,87,B-,M,10
43797,3.77,36,A-,M,14
44493,3.77,84,0+,M,5
40501,3.76,67,0+,M,21
40753,3.76,39,0+,M,25
40867,3.76,38,A+,M,19
41040,3.76,7,0-,M,13
41053,3.76,25,0+,M,6
41736,3.76,66,A+,M,26
41744,3.76,59,0+,M,30
41800,3.76,29,A-,M,18
41820,3.76,69,0+,M,14
42575,3.76,35,A+,M,15
42894,3.76,35,B+,M,1
43092,3.76,73,B-,M,18
43212,3.76,85,A+,M,22
43463,3.76,1,A+,M,5
43559,3.76,50,B+,M,3
43837,3.76,61,A-,M,24
44362,3.76,47,0-,M,21
44508,3.76,85,B+,M,4
44843,3.76,46,B+,M,16
40897,3.75,86,B+,M,22
41092,3.75,83,0+,M,23
41526,3.75,91,B-,M,15
42292,3.75,37,0-,M,7
42603,3.75,35,A+,M,27
42708,3.75,33,0+,M,4
43081,3.75,57,A+,M,17
43207,3.75,50,A-,M,15
43761,3.75,81,A+,M,3
44238,3.75,70,0+,M,7
44428,3.75,74,AB-,M,21
44450,3.75,82,0+,M,7
44510,3.75,35,A+,M,17
44848,3.75,110,0-,M,5
40714,3.74,30,0+,M,21
41370,3.74,94,0+,M,11
41768,3.74,93,A+,M,27
42081,3.74,51,0+,M,22
42361,3.74,37,0+,M,2
43272,3.74,42,A-,M,29
43303,3.74,65,B-,M,4
43438,3.74,20,A+,M,16
43629,3.74,68,0+,M,1
43658,3.74,45,A-,M,27
44288,3.74,84,A-,M,13
44571,3.74,82,AB+,M,23
44573,3.74,27,B-,M,30
44645,3.74,47,A+,M,28
40484,3.73,42,0+,M,3
40676,3.73,67,A-,M,30
41030,3.73,101,AB+,M,11
41149,3.73,39,0-,M,20
41708,3.73,116,A+,M,4
41826,3.73,48,0+,M,18
41837,3.73,39,AB+,M,1
42112,3.73,28,A-,M,6
42582,3.73,92,0-,M,28
42620,3.73,96,0-,M,11
42877,3.73,1,AB+,M,27
42883,3.73,79,A+,M,29
42977,3.73,42,A-,M,18
43025,3.73,111,0+,M,19
43470,3.73,7,0-,M,23
43697,3.73,68,A+,M,27
43841,3.73,76,A+,M,27
40548,3.72,60,A+,M,3
40811,3.72,81,A-,M,0
41350,3.72,9,B-,M,5
41944,3.72,37,A-,M,3
42521,3.72,8,0+,M,15
42607,3.72,110,B-,M,12
42622,3.72,76,A+,M,15
42986,3.72,59,0+,M,7
43084,3.72,53,A+,M,23
43380,3.72,52,0+,M,16
43498,3.72,66,B-,M,8
43587,3.72,25,0+,M,23
43897,3.72,31,B-,M,20
44053,3.72,79,A+,M,13
44506,3.72,8,A+,M,1
44802,3.72,48,0+,M,1
40532,3.71,89,A-,M,2
40549,3.71,93,0+,M,12
40926,3.71,21,A-,M,24
41146,3.71,36,0+,M,5
41486,3.71,48,B+,M,14
41686,3.71,57,0+,M,17
41722,3.71,57,A+,M,13
42246,3.71,40,A-,M,20
42290,3.71,64,A-,M,27
42922,3.71,80,B+,M,8
43870,3.71,109,A+,M,2
44124,3.71,109,A+,M,24
44346,3.71,64,0+,M,7
44528,3.71,84,A+,M,17
44690,3.71,102,A+,M,19
40598,3.70,62,A+,M,30
40768,3.70,65,0+,M,19
41035,3.70,33,AB-,M,11
41473,3.70,33,0+,M,11
41634,3.70,77,A+,M,24
42314,3.70,81,0+,M,8
42450,3.70,109,0+,M,24
42892,3.70,94,0+,M,6
43103,3.70,104,0+,M,30
43206,3.70,62,0+,M,2
43373,3.70,68,B+,M,23
43589,3.70,107,B-,M,9
44678,3.70,63,A+,M,19
44763,3.70,98,A+,M,23
44765,3.70,40,A+,M,24
40557,3.69,53,B-,M,16
40631,3.69,95,A+,M,30
40862,3.69,108,A+,M,3
41421,3.69,32,A+,M,11
41593,3.69,54,0-,M,20
41953,3.69,99,A+,M,21
42483,3.69,86,A-,M,19
42518,3.69,80,0-,M,24
42771,3.69,55,A+,M,10
43302,3.69,75,A-,M,23
43327,3.69,87,0+,M,5
43358,3.69,78,B+,M,7
43548,3.69,12,B+,M,5
43809,3.69,69,0+,M,21
43976,3.69,37,0+,M,12
44075,3.69,71,AB-,M,2
44099,3.69,112,0-,M,3
44261,3.69,43,0+,M,18
44283,3.69,88,0+,M,11
44711,3.69,24,0+,M,6
40487,3.68,30,0+,M,16
40522,3.68,49,0+,M,8
40572,3.68,57,A+,M,1
40683,3.68,97,A+,M,21
41082,3.68,28,A+,M,9
41324,3.68,60,B-,M,5
41609,3.68,20,0-,M,28
42978,3.68,44,AB+,M,16
43787,3.68,90,0+,M,11
43912,3.68,37,B-,M,7
43920,3.68,21,A+,M,17
44568,3.68,72,A+,M,8
44614,3.68,39,0-,M,17
44730,3.68,28,0+,M,18
40446,3.67,42,A+,M,18
40937,3.67,114,AB-,M,18
41079,3.67,96,B-,M,20
41374,3.67,95,0-,M,27
41413,3.67,85,A-,M,1
42618,3.67,87,0+,M,24
42726,3.67,9,B+,M,5
42976,3.67,42,B-,M,27
43700,3.67,47,A+,M,10
43866,3.67,78,0+,M,12
43928,3.67,41,0+,M,25
44152,3.67,47,0+,M,22
44688,3.67,45,0+,M,17
40496,3.66,65,0+,M,24
40686,3.66,115,B+,M,10
40817,3.66,78,A+,M,8
41119,3.66,114,A+,M,9
41215,3.66,110,0+,M,5
41329,3.66,64,A-,M,19
41460,3.66,84,B-,M,20
41622,3.66,88,A+,M,24
41723,3.66,87,0-,M,5
41851,3.66,32,A+,M,21
42116,3.66,54,0+,M,13
42248,3.66,86,0+,M,24
42816,3.66,38,B+,M,23
43088,3.66,5,B-,M,9
43106,3.66,91,AB+,M,12
43366,3.66,56,B-,M,15
43967,3.66,93,0+,M,6
44612,3.66,0,0-,M,17
44631,3.66,65,A+,M,3
44924,3.66,54,B-,M,8
40447,3.65,92,0+,M,8
40589,3.65,76,AB-,M,19
40725,3.65,87,A+,M,20
40760,3.65,96,B+,M,19
41591,3.65,70,A+,M,18
42252,3.65,41,0-,M,22
42366,3.65,9,0+,M,27
42741,3.65,23,0+,M,13
42775,3.65,3,0+,M,23
43200,3.65,73,0-,M,10
43318,3.65,17,A+,M,10
43459,3.65,63,B-,M,14
40843,3.64,99,0+,M,8
42045,3.64,70,B-,M,7
42621,3.64,40,0-,M,21
42963,3.64,42,B-,M,17
43679,3.64,76,0-,M,25
43931,3.64,71,A+,M,3
44117,3.64,54,A+,M,29
44202,3.64,86,A-,M,13
44291,3.64,75,0+,M,7
40928,3.63,15,B+,M,20
41240,3.63,43,A+,M,4
41759,3.63,79,B-,M,10
42120,3.63,67,0+,M,27
43098,3.63,96,0+,M,6
43514,3.63,32,B-,M,0
43716,3.63,73,0+,M,2
44274,3.63,88,B-,M,9
40844,3.62,100,A+,M,11
41745,3.62,88,A+,M,21
41752,3.62,89,B-,M,14
42260,3.62,94,B+,M,19
42316,3.62,94,B-,M,22
42394,3.62,20,B-,M,12
43122,3.62,16,A-,M,18
43161,3.62,11,0+,M,17
43760,3.62,54,A+,M,2
44445,3.62,16,0+,M,13
44840,3.62,88,0+,M,20
40789,3.61,80,A-,M,14
41155,3.61,33,0-,M,16
42026,3.61,39,A+,M,25
42132,3.61,88,A-,M,1
42599,3.61,76,A+,M,18
42666,3.61,58,0+,M,8
42846,3.61,75,A+,M,27
43172,3.61,21,0+,M,29
43625,3.61,95,0+,M,2
43818,3.61,28,0+,M,15
44093,3.61,76,A+,M,24
44608,3.61,61,0+,M,19
40582,3.60,57,B-,M,30
40859,3.60,14,A-,M,13
41076,3.60,82,B-,M,16
41152,3.60,48,A+,M,16
42014,3.60,15,A+,M,27
42694,3.60,79,0+,M,7
43266,3.60,2,0+,M,1
43452,3.60,26,A-,M,7
43461,3.60,62,A+,M,7
43763,3.60,22,A+,M,23
43970,3.60,11,A+,M,17
44126,3.60,21,A+,M,11
44144,3.60,45,A+,M,16
44663,3.60,77,A+,M,30
44846,3.60,124,0+,M,3
40635,3.59,4,A-,M,7
41998,3.59,37,0+,M,10
42274,3.59,14,0-,M,14
42528,3.59,39,A-,M,17
42833,3.59,34,AB+,M,7
43003,3.59,32,A+,M,0
44810,3.59,90,0+,M,23
40591,3.58,9,A-,M,22
41066,3.58,27,0-,M,2
41142,3.58,96,0+,M,21
41564,3.58,126,A+,M,3
41809,3.58,51,A-,M,9
41889,3.58,80,B-,M,24
42306,3.58,44,0+,M,15
42958,3.58,59,0+,M,30
42997,3.58,39,0-,M,13
43177,3.58,31,A-,M,12
43621,3.58,73,A+,M,0
43773,3.58,19,A+,M,16
44042,3.58,120,B-,M,23
44554,3.58,2,A-,M,15
40449,3.57,85,A+,M,15
40831,3.57,100,AB-,M,5
41108,3.57,24,B-,M,30
42134,3.57,20,0-,M,23
42198,3.57,84,0+,M,25
44262,3.57,23,AB+,M,8
44393,3.57,77,A+,M,7
44616,3.57,61,AB+,M,14
44687,3.57,76,0+,M,20
40614,3.56,108,A+,M,7
40934,3.56,94,A+,M,8
41615,3.56,31,B-,M,10
41746,3.56,49,B-,M,28
41814,3.56,64,0+,M,18
42010,3.56,88,AB+,M,4
42283,3.56,63,0+,M,4
42441,3.56,94,0+,M,0
42690,3.56,103,0+,M,27
43128,3.56,0,0+,M,9
44116,3.56,76,0-,M,16
44789,3.56,70,0+,M,14
44914,3.56,70,0+,M,3
41895,3.55,40,A+,M,20
41912,3.55,91,0+,M,4
41984,3.55,77,0+,M,6
42077,3.55,11,0+,M,2
43129,3.55,44,A-,M,24
43184,3.55,42,0+,M,12
43591,3.55,77,A+,M,14
43944,3.55,14,A-,M,3
44691,3.55,85,A+,M,21
44808,3.55,87,A+,M,24
41178,3.54,56,A-,M,27
41579,3.54,57,0+,M,6
42033,3.54,65,0+,M,28
43246,3.54,62,0+,M,11
43406,3.54,22,0+,M,18
43479,3.54,24,B-,M,0
43655,3.54,67,B-,M,7
44112,3.54,88,0+,M,24
44774,3.54,72,0+,M,4
40583,3.53,18,AB+,M,26
42353,3.53,8,A+,M,28
42374,3.53,53,0+,M,26
42746,3.53,57,A+,M,8
43005,3.53,21,0+,M,0
43134,3.53,17,A+,M,10
43139,3.53,67,0+,M,25
43276,3.53,123,A+,M,4
44437,3.53,95,0-,M,11
44758,3.53,69,0+,M,16
40818,3.52,0,0+,M,15
40838,3.52,85,A+,M,17
40994,3.52,35,0+,M,30
41573,3.52,34,0-,M,5
41875,3.52,28,0+,M,17
42164,3.52,40,AB-,M,2
43368,3.52,101,A-,M,12
43754,3.52,46,0-,M,24
43834,3.52,12,A-,M,27
43982,3.52,32,A+,M,16
44429,3.52,26,AB+,M,11
44541,3.52,73,A+,M,17
40839,3.51,103,A+,M,20
40956,3.51,94,AB-,M,1
41621,3.51,97,AB-,M,14
41919,3.51,91,A+,M,24
42291,3.51,85,A-,M,12
42740,3.51,37,A+,M,30
42855,3.51,74,A+,M,16
43126,3.51,43,0+,M,19
43546,3.51,27,0+,M,15
43959,3.51,45,A+,M,24
44103,3.51,51,A+,M,13
44278,3.51,101,0+,M,0
40648,3.50,4,B-,M,19
40746,3.50,79,0+,M,21
40747,3.50,99,B-,M,11
40877,3.50,73,A+,M,18
41318,3.50,62,A+,M,18
41489,3.50,56,AB+,M,19
41777,3.50,31,0+,M,2
42144,3.50,75,A+,M,0
42213,3.50,70,0+,M,30
42323,3.50,16,0+,M,1
42387,3.50,64,0+,M,20
42645,3.50,83,A+,M,17
44255,3.50,2,A+,M,18
44409,3.50,90,0-,M,15
44458,3.50,45,B-,M,8
44488,3.50,59,A+,M,25
44731,3.50,80,0-,M,23
40989,3.49,44,A-,M,7
41481,3.49,93,A+,M,15
41548,3.49,41,A+,M,0
41910,3.49,36,B-,M,22
42231,3.49,32,0-,M,12
42412,3.49,71,0-,M,1
43020,3.49,43,A-,M,1
43441,3.49,88,B+,M,28
43718,3.49,120,A+,M,19
44740,3.49,36,0+,M,23
40781,3.48,14,0+,M,6
40866,3.48,122,0-,M,8
41293,3.48,2,B-,M,27
41831,3.48,105,B+,M,30
42058,3.48,72,A+,M,21
42695,3.48,9,0+,M,21
42722,3.48,36,0+,M,11
43116,3.48,28,0+,M,29
43946,3.48,93,A+,M,24
44435,3.48,103,B-,M,3
44892,3.48,73,0-,M,21
40777,3.47,80,A+,M,5
41999,3.47,28,A-,M,19
42015,3.47,51,A+,M,30
42085,3.47,107,AB-,M,24
42174,3.47,41,0+,M,12
42852,3.47,73,0+,M,27
42995,3.47,21,B-,M,21
43044,3.47,48,A+,M,12
43398,3.47,21,0+,M,30
43474,3.47,53,0+,M,4
44700,3.47,53,A+,M,15
40763,3.46,25,0+,M,1
42534,3.46,34,0-,M,0
42748,3.46,39,B-,M,4
43192,3.46,82,A+,M,0
43643,3.46,78,0-,M,23
43792,3.46,114,A-,M,8
44309,3.46,100,0+,M,24
44523,3.46,107,0+,M,9
44856,3.46,107,0+,M,11
41613,3.45,52,A+,M,22
42141,3.45,22,A-,M,9
42217,3.45,20,AB+,M,12
42434,3.45,37,0+,M,6
42444,3.45,68,B-,M,0
42530,3.45,110,B-,M,3
42585,3.45,87,A+,M,15
42611,3.45,55,A+,M,23
42879,3.45,12,A+,M,9
43890,3.45,68,0-,M,17
44707,3.45,57,B+,M,17
44912,3.45,46,B-,M,0
40863,3.44,55,B-,M,25
41050,3.44,55,0+,M,22
41138,3.44,102,A-,M,19
42167,3.44,85,B-,M,22
43570,3.44,129,A+,M,24
43874,3.44,54,A+,M,6
44356,3.44,18,B-,M,23
44415,3.44,36,0+,M,20
44442,3.44,0,A+,M,19
40606,3.43,65,A+,M,4
41077,3.43,52,A-,M,0
41366,3.43,35,0-,M,23
41762,3.43,27,0+,M,3
42395,3.43,123,AB+,M,9
42673,3.43,6,A+,M,12
43140,3.43,82,0-,M,3
43539,3.43,116,A+,M,6
43793,3.43,105,A+,M,21
43859,3.43,24,0-,M,6
44512,3.43,41,B-,M,9
44657,3.43,74,A+,M,26
40437,3.42,121,0+,M,9
40970,3.42,63,A-,M,9
41005,3.42,44,A+,M,11
41212,3.42,21,0-,M,17
41378,3.42,99,A+,M,22
41737,3.42,44,A+,M,9
41761,3.42,37,A+,M,27
41861,3.42,6,B-,M,28
41937,3.42,36,A-,M,17
42173,3.42,69,A-,M,7
42813,3.42,81,A+,M,28
42829,3.42,44,0+,M,17
43596,3.42,86,0+,M,25
43657,3.42,128,0+,M,4
44709,3.42,94,0+,M,18
44869,3.42,73,0+,M,26
40502,3.41,56,A+,M,7
40916,3.41,48,AB+,M,9
42061,3.41,98,0+,M,28
42240,3.41,83,0+,M,5
43066,3.41,63,A-,M,25
44207,3.41,46,0-,M,29
40466,3.40,108,A+,M,1
41137,3.40,93,A-,M,28
41443,3.40,71,AB+,M,12
41553,3.40,57,A+,M,29
42936,3.40,78,AB-,M,4
42975,3.40,37,A+,M,28
40949,3.39,86,A+,M,8
42223,3.39,61,0+,M,11
42536,3.39,104,A+,M,19
42579,3.39,80,A+,M,29
42644,3.39,98,AB-,M,24
43023,3.39,42,A+,M,6
44596,3.39,25,A+,M,24
44600,3.39,65,A+,M,12
44830,3.39,46,0+,M,1
44889,3.39,82,0+,M,5
40673,3.38,38,A+,M,30
40982,3.38,50,A+,M,16
41733,3.38,53,B-,M,21
41750,3.38,104,A+,M,9
42338,3.38,89,B+,M,19
42388,3.38,81,0+,M,27
42874,3.38,22,AB+,M,12
43903,3.38,67,A+,M,9
44235,3.38,23,A-,M,28
40802,3.37,62,B+,M,24
41779,3.37,111,0+,M,23
41816,3.37,88,0+,M,6
41977,3.37,56,0-,M,24
42784,3.37,119,AB+,M,20
